Object Name,Latitude,Longitude
SL-8 DEB,-50.28927563441558,82.88459431225
OV2-1,16.482911863184036,125.47168462439487
TITAN 3C TRANSTAGE DEB,-20.317846118919892,-176.47434668181586
TITAN 3C TRANSTAGE DEB,7.814247833135135,-86.4795165088298
TITAN 3C TRANSTAGE DEB,-26.94731606695005,134.14135861147795
TITAN 3C TRANSTAGE DEB,-20.69545942981527,176.3656106156235
TITAN 3C TRANSTAGE DEB,-29.002237600616517,32.60101775825603
TITAN 3C TRANSTAGE DEB,-32.37992130034612,23.528805848272043
TITAN 3C TRANSTAGE DEB,1.3855049622540705,16.330322018357606
TITAN 3C TRANSTAGE DEB,11.12493991774526,103.82145067066992
TITAN 3C TRANSTAGE DEB,-32.10682564331083,93.99862884343784
TITAN 3C TRANSTAGE DEB,-19.871251002026156,-29.867965552342092
TITAN 3C TRANSTAGE DEB,22.279287797463656,-80.47662449275633
EXPLORER 29 (GEOS 1),57.298775242696756,-22.31962321267972
DELTA 1 R/B,-36.36735554401584,-173.9276199048446
EXPLORER 30,19.29060804897518,-141.71733190635763
SCOUT X-4 R/B,3.588597936757753,20.586694598927043
A-1 (ASTERIX),33.19364621839658,179.4091176409172
ALOUETTE 2,-42.02057035185511,147.5026078613927
DIAMANT R/B,-1.4022386632820047,-134.44446393023352
EXPLORER 31 (ISIS-X),36.56540140146198,160.83247419996928
THOR AGENA B R/B,-32.68509991377321,-97.72039876367883
FR 1,4.479057803581637,138.85672704684833
SCOUT X-4 R/B,-35.504992671567756,84.3669042818447
TITAN 3C TRANSTAGE DEB,21.455833820721566,-179.41631362786427
TITAN 3C TRANSTAGE DEB,31.617221323856203,-76.77208509415927
TITAN 3C TRANSTAGE DEB,18.354419051180827,-152.73883990824888
